doc_id,domain,corpus,drug_group,group_fold,axis1_role,cv_round1,cv_round2,cv_round3,cv_round4
cadecv2:ANTIHYPERTENSIVES-COZAAR.10,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.11,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.12,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.13,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.14,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.15,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.16,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.17,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.18,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.19,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.2,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.24,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.25,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.26,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.28,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.29,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.31,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.32,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.33,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.34,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.35,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.36,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.39,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.4,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.40,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.41,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.42,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
cadecv2:ANTIHYPERTENSIVES-COZAAR.43,forum,cadecv2,ANTIHYPERTENSIVE,3,forum,train,train,calib,test
